x,y,width,height,confidence,class,image_path,prediction_type
207,660,414,525,0.5541012287139893,infested_tree,jpg/tile_7_19.jpg,ObjectDetectionModel
307,323,590,534,0.5503286719322205,infested_tree,jpg/tile_7_19.jpg,ObjectDetectionModel
222,917,432,164,0.29601025581359863,infested_tree,jpg/tile_7_20.jpg,ObjectDetectionModel
209,318,415,453,0.6722068786621094,healthy_tree,jpg/tile_7_21.jpg,ObjectDetectionModel
160,115,314,221,0.3022480010986328,infested_tree,jpg/tile_8_12.jpg,ObjectDetectionModel
641,632,460,453,0.4659577012062073,infested_tree,jpg/tile_8_14.jpg,ObjectDetectionModel
331,644,456,414,0.6698264479637146,infested_tree,jpg/tile_8_17.jpg,ObjectDetectionModel
267,282,501,506,0.35056987404823303,infested_tree,jpg/tile_8_17.jpg,ObjectDetectionModel
807,374,384,610,0.34280699491500854,infested_tree,jpg/tile_8_17.jpg,ObjectDetectionModel
484,891,778,214,0.272386372089386,infested_tree,jpg/tile_8_18.jpg,ObjectDetectionModel
158,491,314,404,0.5555978417396545,infested_tree,jpg/tile_8_19.jpg,ObjectDetectionModel
840,158,318,314,0.44381099939346313,infested_tree,jpg/tile_8_19.jpg,ObjectDetectionModel
220,178,431,346,0.42010605335235596,infested_tree,jpg/tile_8_19.jpg,ObjectDetectionModel
453,412,426,465,0.29956793785095215,infested_tree,jpg/tile_8_19.jpg,ObjectDetectionModel
926,117,146,235,0.2716546058654785,infested_tree,jpg/tile_9_3.jpg,ObjectDetectionModel
273,429,509,506,0.6131535172462463,infested_tree,jpg/tile_9_17.jpg,ObjectDetectionModel
221,906,443,187,0.33950430154800415,infested_tree,jpg/tile_9_18.jpg,ObjectDetectionModel
810,885,378,228,0.31074056029319763,infested_tree,jpg/tile_9_18.jpg,ObjectDetectionModel
198,132,396,264,0.6076748371124268,infested_tree,jpg/tile_9_19.jpg,ObjectDetectionModel
730,282,407,464,0.5489969849586487,infested_tree,jpg/tile_9_19.jpg,ObjectDetectionModel
148,367,290,404,0.35197076201438904,infested_tree,jpg/tile_9_19.jpg,ObjectDetectionModel
476,880,650,239,0.3671269416809082,infested_tree,jpg/tile_9_20.jpg,ObjectDetectionModel
870,153,259,307,0.3670409321784973,infested_tree,jpg/tile_9_21.jpg,ObjectDetectionModel
460,857,414,282,0.553066611289978,infested_tree,jpg/tile_10_2.jpg,ObjectDetectionModel
462,850,434,295,0.5480540990829468,healthy_tree,jpg/tile_10_2.jpg,ObjectDetectionModel
811,724,376,532,0.3638620972633362,infested_tree,jpg/tile_10_2.jpg,ObjectDetectionModel
183,135,367,271,0.58412104845047,infested_tree,jpg/tile_10_3.jpg,ObjectDetectionModel
173,805,346,389,0.38711535930633545,infested_tree,jpg/tile_10_3.jpg,ObjectDetectionModel
153,261,306,476,0.41714441776275635,infested_tree,jpg/tile_10_4.jpg,ObjectDetectionModel
521,832,609,329,0.2782742381095886,infested_tree,jpg/tile_10_4.jpg,ObjectDetectionModel
715,115,568,228,0.29946187138557434,infested_tree,jpg/tile_10_5.jpg,ObjectDetectionModel
179,788,353,414,0.36226993799209595,infested_tree,jpg/tile_10_9.jpg,ObjectDetectionModel
49,67,98,115,0.3209044337272644,infested_tree,jpg/tile_10_20.jpg,ObjectDetectionModel
82,162,165,325,0.5290785431861877,infested_tree,jpg/tile_10_21.jpg,ObjectDetectionModel
337,167,393,332,0.5099841356277466,infested_tree,jpg/tile_10_21.jpg,ObjectDetectionModel
217,866,435,267,0.5943953990936279,infested_tree,jpg/tile_11_2.jpg,ObjectDetectionModel
287,115,556,225,0.32783201336860657,infested_tree,jpg/tile_11_3.jpg,ObjectDetectionModel
600,326,442,431,0.6691528558731079,infested_tree,jpg/tile_11_5.jpg,ObjectDetectionModel
882,789,235,417,0.6205989122390747,healthy_tree,jpg/tile_11_5.jpg,ObjectDetectionModel
275,482,450,346,0.6867161393165588,infested_tree,jpg/tile_11_8.jpg,ObjectDetectionModel
723,682,343,401,0.34541013836860657,healthy_tree,jpg/tile_11_8.jpg,ObjectDetectionModel
503,378,510,393,0.5938447117805481,infested_tree,jpg/tile_12_5.jpg,ObjectDetectionModel
167,794,329,401,0.4106031656265259,infested_tree,jpg/tile_12_5.jpg,ObjectDetectionModel
859,471,275,346,0.3509751558303833,infested_tree,jpg/tile_12_5.jpg,ObjectDetectionModel
485,389,487,376,0.29962658882141113,healthy_tree,jpg/tile_12_5.jpg,ObjectDetectionModel
283,114,473,229,0.36509695649147034,infested_tree,jpg/tile_12_6.jpg,ObjectDetectionModel
682,917,496,165,0.34881874918937683,infested_tree,jpg/tile_13_2.jpg,ObjectDetectionModel
679,122,518,245,0.4519041180610657,infested_tree,jpg/tile_13_3.jpg,ObjectDetectionModel
762,656,384,290,0.725257933139801,infested_tree,jpg/tile_13_5.jpg,ObjectDetectionModel
399,579,389,281,0.3906908333301544,infested_tree,jpg/tile_13_5.jpg,ObjectDetectionModel
376,275,731,550,0.29764625430107117,infested_tree,jpg/tile_13_6.jpg,ObjectDetectionModel
734,438,525,567,0.4086560606956482,infested_tree,jpg/tile_14_3.jpg,ObjectDetectionModel
762,482,456,596,0.5795382261276245,infested_tree,jpg/tile_14_6.jpg,ObjectDetectionModel
245,390,490,643,0.4187380075454712,infested_tree,jpg/tile_14_6.jpg,ObjectDetectionModel
787,836,418,323,0.7172825336456299,infested_tree,jpg/tile_14_7.jpg,ObjectDetectionModel
223,642,390,282,0.31791648268699646,infested_tree,jpg/tile_14_7.jpg,ObjectDetectionModel
208,782,417,425,0.49266427755355835,healthy_tree,jpg/tile_14_13.jpg,ObjectDetectionModel
865,880,259,235,0.4921920597553253,infested_tree,jpg/tile_14_15.jpg,ObjectDetectionModel
863,884,270,231,0.40178030729293823,healthy_tree,jpg/tile_14_15.jpg,ObjectDetectionModel
769,214,460,429,0.3531785011291504,infested_tree,jpg/tile_14_16.jpg,ObjectDetectionModel
739,681,473,506,0.2930939793586731,healthy_tree,jpg/tile_14_16.jpg,ObjectDetectionModel
884,914,225,171,0.37599608302116394,infested_tree,jpg/tile_14_17.jpg,ObjectDetectionModel
888,132,220,264,0.43734025955200195,infested_tree,jpg/tile_14_18.jpg,ObjectDetectionModel
270,923,396,153,0.7086530327796936,infested_tree,jpg/tile_15_5.jpg,ObjectDetectionModel
825,876,337,246,0.4038483202457428,healthy_tree,jpg/tile_15_6.jpg,ObjectDetectionModel
921,471,156,615,0.3100179433822632,infested_tree,jpg/tile_15_8.jpg,ObjectDetectionModel
824,714,351,531,0.3344035744667053,healthy_tree,jpg/tile_15_9.jpg,ObjectDetectionModel
213,172,426,345,0.6121417880058289,infested_tree,jpg/tile_15_16.jpg,ObjectDetectionModel
879,625,240,703,0.34627270698547363,infested_tree,jpg/tile_15_16.jpg,ObjectDetectionModel
77,88,154,176,0.5827955007553101,healthy_tree,jpg/tile_15_18.jpg,ObjectDetectionModel
77,94,154,189,0.4895118474960327,infested_tree,jpg/tile_15_18.jpg,ObjectDetectionModel
720,884,475,231,0.26311010122299194,infested_tree,jpg/tile_16_3.jpg,ObjectDetectionModel
623,75,581,150,0.32269367575645447,infested_tree,jpg/tile_16_4.jpg,ObjectDetectionModel
655,782,307,290,0.3247070908546448,healthy_tree,jpg/tile_16_9.jpg,ObjectDetectionModel
